word,stem
tengenezaneni,tengenez-
sitaanza,-anz-
tulipowaimbia,-imb-
jibianeni,jib-
nitaoneshwa,-onesh-
katiwa,kat-
msipoondokea,-ondo-
sijatoka,-tok-
piga,pig-
muandikie,-andik-
mlipokaa,-ka-
jengeana,jeng-
niliyekimaliza,-maliz-
atakapokimbiziwa,-kimbi-
fungulianeni,fungu-
mvutishe,-vut-
hakumleta,-let-
hujafungwa,-fung-
rudishana,rudish-
ningeliimbiwa,-imb-
mtapata,-pat-
hawatamvutia,-vut-
tutakavyoingia,-ingi-
sitaingia,-ingi-
kumbuka,kumbu-
tutaanzishwa,-anz-
siingii,-ingi-
mtaokoka,-oko-
utacheza,-chez-
tumemalizishia,-maliz-
ameokokesha,-oko-
tungelilala,-lal-
asingefungulia,-fungu-
aliyekuuliza,-uliz-
hawakuanzishwa,-anz-
mlimchapishia,-chapish-
alinionesha,-onesh-
msingaliwaandikishia,-andik-
hutajenga,-jeng-
chapisheni,chapish-
alipomsikilizia,-siki-
wasingewapanda,-pand-
chomesha,chom-
mpotezeni,-potez-
