char,prev_char,next_char,position,word_len,label
t,a,a,1,12,0
a,t,k,2,12,0
k,a,a,3,12,0
a,k,p,4,12,0
p,a,o,5,12,0
o,p,l,6,12,0
l,o,i,7,12,0
i,l,v,8,12,0
v,i,u,9,12,1
u,v,a,10,12,1
a,u,<END>,11,12,0
n,<START>,i,0,8,0
i,n,t,1,8,0
t,i,a,2,8,0
a,t,t,3,8,0
t,a,o,4,8,1
o,t,k,5,8,1
k,o,a,6,8,1
a,k,<END>,7,8,0
u,<START>,m,0,10,0
m,u,e,1,10,0
e,m,a,2,10,0
a,e,n,3,10,1
n,a,d,4,10,1
d,n,i,5,10,1
i,d,k,6,10,1
k,i,i,7,10,1
i,k,a,8,10,0
a,i,<END>,9,10,0
a,<START>,l,0,15,0
l,a,i,1,15,0
i,l,v,2,15,0
v,i,y,3,15,0
y,v,o,4,15,0
o,y,a,5,15,0
a,o,n,6,15,1
n,a,z,7,15,1
z,n,i,8,15,1
i,z,s,9,15,0
s,i,h,10,15,0
h,s,i,11,15,0
i,h,w,12,15,0
w,i,a,13,15,0
a,w,<END>,14,15,0
j,<START>,e,0,9,1
e,j,n,1,9,1
n,e,g,2,9,1
g,n,a,3,9,1
a,g,n,4,9,0
n,a,e,5,9,0
e,n,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
f,<START>,u,0,8,1
u,f,n,1,8,1
n,u,g,2,8,1
g,n,u,3,8,1
u,g,e,4,8,1
e,u,n,5,8,0
n,e,i,6,8,0
i,n,<END>,7,8,0
s,<START>,i,0,8,0
i,s,j,1,8,0
j,i,a,2,8,0
a,j,p,3,8,0
p,a,i,4,8,1
i,p,k,5,8,1
k,i,a,6,8,1
a,k,<END>,7,8,0
o,<START>,k,0,6,1
k,o,o,1,6,1
o,k,a,2,6,1
a,o,n,3,6,0
n,a,a,4,6,0
a,n,<END>,5,6,0
s,<START>,i,0,8,0
i,s,j,1,8,0
j,i,a,2,8,0
a,j,i,3,8,0
i,a,m,4,8,1
m,i,b,5,8,1
b,m,a,6,8,1
a,b,<END>,7,8,0
a,<START>,l,0,11,0
l,a,i,1,11,0
i,l,l,2,11,0
l,i,o,3,11,0
o,l,w,4,11,0
w,o,a,5,11,0
a,w,j,6,11,0
j,a,i,7,11,1
i,j,b,8,11,1
b,i,u,9,11,1
u,b,<END>,10,11,0
h,<START>,i,0,7,1
i,h,s,1,7,1
s,i,i,2,7,1
i,s,a,3,7,1
a,i,n,4,7,0
n,a,a,5,7,0
a,n,<END>,6,7,0
t,<START>,u,0,10,0
u,t,l,1,10,0
l,u,i,2,10,0
i,l,i,3,10,0
i,i,m,4,10,1
m,i,b,5,10,1
b,m,i,6,10,1
i,b,w,7,10,0
w,i,a,8,10,0
a,w,<END>,9,10,0
a,<START>,l,0,12,0
l,a,i,1,12,0
i,l,v,2,12,0
v,i,y,3,12,0
y,v,o,4,12,0
o,y,c,5,12,0
c,o,h,6,12,1
h,c,u,7,12,1
u,h,k,8,12,1
k,u,u,9,12,1
u,k,a,10,12,1
a,u,<END>,11,12,0
s,<START>,o,0,7,1
o,s,m,1,7,1
m,o,e,2,7,1
e,m,s,3,7,0
s,e,h,4,7,0
h,s,a,5,7,0
a,h,<END>,6,7,0
h,<START>,a,0,13,0
a,h,t,1,13,0
t,a,u,2,13,0
u,t,m,3,13,0
m,u,s,4,13,0
s,m,i,5,13,1
i,s,k,6,13,1
k,i,i,7,13,1
i,k,l,8,13,1
l,i,i,9,13,0
i,l,z,10,13,0
z,i,i,11,13,0
i,z,<END>,12,13,0
s,<START>,i,0,10,1
i,s,m,1,10,1
m,i,a,2,10,1
a,m,m,3,10,1
m,a,i,4,10,1
i,m,s,5,10,0
s,i,h,6,10,0
h,s,w,7,10,0
w,h,a,8,10,0
a,w,<END>,9,10,0
i,<START>,n,0,7,1
n,i,g,1,7,1
g,n,i,2,7,1
i,g,l,3,7,1
l,i,i,4,7,0
i,l,a,5,7,0
a,i,<END>,6,7,0
a,<START>,l,0,11,0
l,a,i,1,11,0
i,l,c,2,11,0
c,i,h,3,11,0
h,c,o,4,11,0
o,h,k,5,11,0
k,o,i,6,11,0
i,k,v,7,11,0
v,i,u,8,11,1
u,v,a,9,11,1
a,u,<END>,10,11,0
w,<START>,a,0,14,0
a,w,m,1,14,0
m,a,e,2,14,0
e,m,f,3,14,0
f,e,u,4,14,0
u,f,f,5,14,0
f,u,u,6,14,1
u,f,n,7,14,1
n,u,g,8,14,1
g,n,i,9,14,1
i,g,a,10,14,0
a,i,n,11,14,0
n,a,a,12,14,0
a,n,<END>,13,14,0
o,<START>,n,0,6,1
n,o,e,1,6,1
e,n,s,2,6,1
s,e,h,3,6,1
h,s,a,4,6,1
a,h,<END>,5,6,0
w,<START>,a,0,12,0
a,w,n,1,12,0
n,a,a,2,12,0
a,n,m,3,12,0
m,a,a,4,12,1
a,m,l,5,12,1
l,a,i,6,12,1
i,l,z,7,12,1
z,i,i,8,12,1
i,z,w,9,12,0
w,i,a,10,12,0
a,w,<END>,11,12,0
n,<START>,i,0,13,0
i,n,t,1,13,0
t,i,a,2,13,0
a,t,m,3,13,0
m,a,c,4,13,0
c,m,h,5,13,1
h,c,u,6,13,1
u,h,k,7,13,1
k,u,u,8,13,1
u,k,l,9,13,1
l,u,i,10,13,0
i,l,a,11,13,0
a,i,<END>,12,13,0
n,<START>,i,0,9,0
i,n,u,1,9,0
u,i,l,2,9,1
l,u,i,3,9,1
i,l,z,4,9,1
z,i,e,5,9,1
e,z,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
w,<START>,a,0,17,0
a,w,l,1,17,0
l,a,i,2,17,0
i,l,p,3,17,0
p,i,o,4,17,0
o,p,j,5,17,0
j,o,a,6,17,1
a,j,r,7,17,1
r,a,i,8,17,1
i,r,b,9,17,1
b,i,i,10,17,1
i,b,s,11,17,0
s,i,h,12,17,0
h,s,i,13,17,0
i,h,w,14,17,0
w,i,a,15,17,0
a,w,<END>,16,17,0
u,<START>,s,0,8,0
s,u,i,1,8,0
i,s,i,2,8,0
i,i,n,3,8,1
n,i,g,4,8,1
g,n,i,5,8,1
i,g,e,6,8,1
e,i,<END>,7,8,0
m,<START>,s,0,12,0
s,m,i,1,12,0
i,s,h,2,12,0
h,i,a,3,12,1
a,h,r,4,12,1
r,a,i,5,12,1
i,r,b,6,12,1
b,i,i,7,12,1
i,b,a,8,12,0
a,i,n,9,12,0
n,a,e,10,12,0
e,n,<END>,11,12,0
t,<START>,u,0,13,0
u,t,n,1,13,0
n,u,a,2,13,0
a,n,y,3,13,0
y,a,e,4,13,0
e,y,m,5,13,0
m,e,t,6,13,0
t,m,a,7,13,1
a,t,f,8,13,1
f,a,u,9,13,1
u,f,t,10,13,1
t,u,a,11,13,1
a,t,<END>,12,13,0
t,<START>,u,0,4,1
u,t,m,1,4,1
m,u,a,2,4,1
a,m,<END>,3,4,0
a,<START>,t,0,10,0
t,a,a,1,10,0
a,t,n,2,10,0
n,a,i,3,10,0
i,n,p,4,10,0
p,i,i,5,10,1
i,p,g,6,10,1
g,i,i,7,10,1
i,g,a,8,10,0
a,i,<END>,9,10,0
n,<START>,i,0,12,0
i,n,l,1,12,0
l,i,i,2,12,0
i,l,p,3,12,0
p,i,o,4,12,0
o,p,m,5,12,0
m,o,c,6,12,0
c,m,h,7,12,1
h,c,o,8,12,1
o,h,m,9,12,1
m,o,a,10,12,1
a,m,<END>,11,12,0
w,<START>,a,0,18,0
a,w,l,1,18,0
l,a,i,2,18,0
i,l,v,3,18,0
v,i,y,4,18,0
y,v,o,5,18,0
o,y,t,6,18,0
t,o,e,7,18,1
e,t,n,8,18,1
n,e,g,9,18,1
g,n,e,10,18,1
e,g,n,11,18,1
n,e,e,12,18,1
e,n,z,13,18,1
z,e,a,14,18,1
a,z,n,15,18,0
n,a,a,16,18,0
a,n,<END>,17,18,0
h,<START>,a,0,13,0
a,h,t,1,13,0
t,a,a,2,13,0
a,t,k,3,13,0
k,a,u,4,13,0
u,k,v,5,13,0
v,u,u,6,13,1
u,v,t,7,13,1
t,u,i,8,13,1
i,t,s,9,13,0
s,i,h,10,13,0
h,s,a,11,13,0
a,h,<END>,12,13,0
h,<START>,u,0,13,0
u,h,t,1,13,0
t,u,a,2,13,0
a,t,e,3,13,0
e,a,n,4,13,1
n,e,d,5,13,1
d,n,e,6,13,1
e,d,l,7,13,1
l,e,e,8,13,1
e,l,z,9,13,1
z,e,e,10,13,0
e,z,a,11,13,0
a,e,<END>,12,13,0
t,<START>,u,0,9,1
u,t,m,1,9,1
m,u,i,2,9,1
i,m,a,3,9,0
a,i,n,4,9,0
n,a,e,5,9,0
e,n,n,6,9,0
n,e,i,7,9,0
i,n,<END>,8,9,0
s,<START>,i,0,8,0
i,s,j,1,8,0
j,i,a,2,8,0
a,j,l,3,8,0
l,a,a,4,8,1
a,l,l,5,8,1
l,a,a,6,8,1
a,l,<END>,7,8,0
u,<START>,l,0,14,0
l,u,i,1,14,0
i,l,c,2,14,0
c,i,h,3,14,0
h,c,o,4,14,0
o,h,k,5,14,0
k,o,i,6,14,0
i,k,h,7,14,0
h,i,a,8,14,1
a,h,r,9,14,1
r,a,i,10,14,1
i,r,b,11,14,1
b,i,u,12,14,1
u,b,<END>,13,14,0
u,<START>,l,0,5,1
l,u,i,1,5,1
i,l,z,2,5,1
z,i,a,3,5,1
a,z,<END>,4,5,0
a,<START>,l,0,12,0
l,a,i,1,12,0
i,l,c,2,12,0
c,i,h,3,12,0
h,c,o,4,12,0
o,h,k,5,12,0
k,o,i,6,12,0
i,k,p,7,12,0
p,i,a,8,12,1
a,p,t,9,12,1
t,a,a,10,12,1
a,t,<END>,11,12,0
m,<START>,m,0,11,0
m,m,e,1,11,0
e,m,p,2,11,0
p,e,o,3,11,1
o,p,t,4,11,1
t,o,e,5,11,1
e,t,z,6,11,1
z,e,a,7,11,1
a,z,n,8,11,0
n,a,a,9,11,0
a,n,<END>,10,11,0
s,<START>,i,0,13,0
i,s,t,1,13,0
t,i,a,2,13,0
a,t,m,3,13,0
m,a,k,4,13,0
k,m,u,5,13,1
u,k,m,6,13,1
m,u,b,7,13,1
b,m,u,8,13,1
u,b,s,9,13,1
s,u,h,10,13,0
h,s,a,11,13,0
a,h,<END>,12,13,0
t,<START>,u,0,9,0
u,t,t,1,9,0
t,u,a,2,9,0
a,t,m,3,9,0
m,a,p,4,9,0
p,m,i,5,9,1
i,p,g,6,9,1
g,i,a,7,9,1
a,g,<END>,8,9,0
t,<START>,u,0,12,0
u,t,m,1,12,0
m,u,e,2,12,0
e,m,m,3,12,0
m,e,k,4,12,0
k,m,a,5,12,1
a,k,t,6,12,1
t,a,i,7,12,1
i,t,s,8,12,0
s,i,h,9,12,0
h,s,a,10,12,0
a,h,<END>,11,12,0
n,<START>,i,0,13,0
i,n,s,1,13,0
s,i,i,2,13,0
i,s,n,3,13,0
n,i,g,4,13,0
g,n,e,5,13,0
e,g,l,6,13,0
l,e,i,7,13,0
i,l,l,8,13,0
l,i,a,9,13,1
a,l,l,10,13,1
l,a,a,11,13,1
a,l,<END>,12,13,0
j,<START>,a,0,6,1
a,j,r,1,6,1
r,a,i,2,6,1
i,r,b,3,6,1
b,i,u,4,6,1
u,b,<END>,5,6,0
s,<START>,i,0,13,0
i,s,j,1,13,0
j,i,a,2,13,0
a,j,m,3,13,0
m,a,r,4,13,0
r,m,u,5,13,1
u,r,d,6,13,1
d,u,i,7,13,1
i,d,s,8,13,1
s,i,h,9,13,1
h,s,i,10,13,1
i,h,a,11,13,0
a,i,<END>,12,13,0
a,<START>,s,0,12,0
s,a,i,1,12,0
i,s,n,2,12,0
n,i,g,3,12,0
g,n,e,4,12,0
e,g,f,5,12,0
f,e,u,6,12,1
u,f,n,7,12,1
n,u,g,8,12,1
g,n,w,9,12,1
w,g,a,10,12,0
a,w,<END>,11,12,0
c,<START>,h,0,9,1
h,c,u,1,9,1
u,h,k,2,9,1
k,u,u,3,9,1
u,k,l,4,9,1
l,u,i,5,9,0
i,l,k,6,9,0
k,i,a,7,9,0
a,k,<END>,8,9,0
a,<START>,n,0,7,1
n,a,z,1,7,1
z,n,i,2,7,1
i,z,s,3,7,0
s,i,h,4,7,0
h,s,a,5,7,0
a,h,<END>,6,7,0
j,<START>,i,0,4,1
i,j,b,1,4,1
b,i,u,2,4,1
u,b,<END>,3,4,0
t,<START>,u,0,5,1
u,t,p,1,5,1
p,u,i,2,5,1
i,p,a,3,5,0
a,i,<END>,4,5,0
m,<START>,s,0,14,0
s,m,i,1,14,0
i,s,n,2,14,0
n,i,g,3,14,0
g,n,e,4,14,0
e,g,c,5,14,0
c,e,h,6,14,1
h,c,a,7,14,1
a,h,p,8,14,1
p,a,i,9,14,1
i,p,s,10,14,1
s,i,h,11,14,1
h,s,a,12,14,1
a,h,<END>,13,14,0
s,<START>,o,0,9,1
o,s,m,1,9,1
m,o,e,2,9,1
e,m,s,3,9,0
s,e,h,4,9,0
h,s,e,5,9,0
e,h,w,6,9,0
w,e,a,7,9,0
a,w,<END>,8,9,0
a,<START>,m,0,8,0
m,a,e,1,8,0
e,m,k,2,8,0
k,e,a,3,8,1
a,k,t,4,8,1
t,a,w,5,8,1
w,t,a,6,8,0
a,w,<END>,7,8,0
u,<START>,n,0,14,0
n,u,a,1,14,0
a,n,l,2,14,0
l,a,i,3,14,0
i,l,c,4,14,0
c,i,h,5,14,1
h,c,a,6,14,1
a,h,p,7,14,1
p,a,i,8,14,1
i,p,s,9,14,1
s,i,h,10,14,1
h,s,i,11,14,1
i,h,a,12,14,0
a,i,<END>,13,14,0
j,<START>,e,0,9,1
e,j,n,1,9,1
n,e,g,2,9,1
g,n,e,3,9,1
e,g,s,4,9,0
s,e,h,5,9,0
h,s,e,6,9,0
e,h,a,7,9,0
a,e,<END>,8,9,0
t,<START>,u,0,11,0
u,t,t,1,11,0
t,u,a,2,11,0
a,t,e,3,11,0
e,a,n,4,11,1
n,e,d,5,11,1
d,n,e,6,11,1
e,d,l,7,11,1
l,e,e,8,11,1
e,l,a,9,11,1
a,e,<END>,10,11,0
t,<START>,u,0,10,0
u,t,t,1,10,0
t,u,a,2,10,0
a,t,y,3,10,0
y,a,a,4,10,0
a,y,j,5,10,0
j,a,i,6,10,1
i,j,b,7,10,1
b,i,u,8,10,1
u,b,<END>,9,10,0
u,<START>,t,0,9,0
t,u,a,1,9,1
a,t,f,2,9,1
f,a,u,3,9,1
u,f,t,4,9,1
t,u,i,5,9,1
i,t,w,6,9,0
w,i,e,7,9,0
e,w,<END>,8,9,0
t,<START>,u,0,14,0
u,t,l,1,14,0
l,u,i,2,14,0
i,l,k,3,14,0
k,i,u,4,14,0
u,k,c,5,14,0
c,u,h,6,14,1
h,c,u,7,14,1
u,h,k,8,14,1
k,u,u,9,14,1
u,k,l,10,14,1
l,u,i,11,14,0
i,l,a,12,14,0
a,i,<END>,13,14,0
t,<START>,o,0,4,1
o,t,k,1,4,1
k,o,a,2,4,1
a,k,<END>,3,4,0
t,<START>,u,0,11,0
u,t,l,1,11,0
l,u,i,2,11,0
i,l,m,3,11,0
m,i,j,4,11,0
j,m,e,5,11,1
e,j,n,6,11,1
n,e,g,7,11,1
g,n,e,8,11,1
e,g,a,9,11,0
a,e,<END>,10,11,0
a,<START>,m,0,12,0
m,a,e,1,12,0
e,m,t,2,12,0
t,e,u,3,12,0
u,t,k,4,12,0
k,u,a,5,12,1
a,k,t,6,12,1
t,a,i,7,12,1
i,t,k,8,12,0
k,i,i,9,12,0
i,k,a,10,12,0
a,i,<END>,11,12,0
a,<START>,n,0,9,0
n,a,g,1,9,0
g,n,a,2,9,0
a,g,l,3,9,0
l,a,i,4,9,0
i,l,v,5,9,0
v,i,u,6,9,1
u,v,a,7,9,1
a,u,<END>,8,9,0
s,<START>,i,0,16,0
i,s,t,1,16,0
t,i,a,2,16,0
a,t,k,3,16,0
k,a,u,4,16,0
u,k,t,5,16,0
t,u,e,6,16,1
e,t,n,7,16,1
n,e,g,8,16,1
g,n,e,9,16,1
e,g,n,10,16,1
n,e,e,11,16,1
e,n,z,12,16,1
z,e,e,13,16,1
e,z,a,14,16,0
a,e,<END>,15,16,0
w,<START>,a,0,12,0
a,w,l,1,12,0
l,a,i,2,12,0
i,l,p,3,12,0
p,i,o,4,12,0
o,p,f,5,12,0
f,o,u,6,12,1
u,f,n,7,12,1
n,u,g,8,12,1
g,n,u,9,12,1
u,g,a,10,12,1
a,u,<END>,11,12,0
h,<START>,a,0,15,0
a,h,t,1,15,0
t,a,u,2,15,0
u,t,t,3,15,0
t,u,a,4,15,0
a,t,o,5,15,0
o,a,n,6,15,1
n,o,d,7,15,1
d,n,o,8,15,1
o,d,s,9,15,1
s,o,h,10,15,0
h,s,e,11,15,0
e,h,w,12,15,0
w,e,a,13,15,0
a,w,<END>,14,15,0
h,<START>,a,0,6,1
a,h,r,1,6,1
r,a,i,2,6,1
i,r,b,3,6,1
b,i,u,4,6,1
u,b,<END>,5,6,0
j,<START>,i,0,6,1
i,j,b,1,6,1
b,i,i,2,6,1
i,b,w,3,6,0
w,i,a,4,6,0
a,w,<END>,5,6,0
t,<START>,u,0,13,0
u,t,l,1,13,0
l,u,i,2,13,0
i,l,v,3,13,0
v,i,y,4,13,0
y,v,o,5,13,0
o,y,m,6,13,0
m,o,s,7,13,0
s,m,i,8,13,1
i,s,k,9,13,1
k,i,i,10,13,1
i,k,a,11,13,1
a,i,<END>,12,13,0
v,<START>,u,0,4,1
u,v,t,1,4,1
t,u,a,2,4,1
a,t,<END>,3,4,0
c,<START>,h,0,6,1
h,c,u,1,6,1
u,h,k,2,6,1
k,u,u,3,6,1
u,k,a,4,6,1
a,u,<END>,5,6,0
t,<START>,u,0,7,1
u,t,p,1,7,1
p,u,i,2,7,1
i,p,a,3,7,0
a,i,n,4,7,0
n,a,a,5,7,0
a,n,<END>,6,7,0
f,<START>,u,0,5,1
u,f,n,1,5,1
n,u,g,2,5,1
g,n,a,3,5,1
a,g,<END>,4,5,0
z,<START>,u,0,4,1
u,z,i,1,4,1
i,u,a,2,4,1
a,i,<END>,3,4,0
a,<START>,l,0,13,0
l,a,i,1,13,0
i,l,p,2,13,0
p,i,o,3,13,0
o,p,i,4,13,0
i,o,n,5,13,1
n,i,g,6,13,1
g,n,i,7,13,1
